sku,asin,product_description,price
LG PC PN DE 1.5 14D GH VS1VS2 16 S,B0H2J3X75X,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 1.5 Carat",800.82
LG PC PN DE 1.5 PLT GH VS1VS2 16 S,B0H2JHYBBD,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 1.5 Carat",1144.52
LG PC PN DE 2 14P GH VS1VS2 16 S,B0H2JCF5NJ,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 2 Carat",1029.96
LG PC PN 2 14K GH VS1VS2 16 S,B0CJJY75FP,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 2 Carat",1029.96
LG PC PN DE 2 14D GH VS1VS2 16 S,B0H2J5QRYL,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 2 Carat",1029.96
LG PC PN DE 2 PLT GH VS1VS2 16 S,B0H2J5ZLSQ,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 2 Carat",1373.65
LG PC PN DE 3 14P GH VS1VS2 16 S,B0H2J3847L,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 3 Carat",1481.61
LG PC PN DE 3 14K GH VS1VS2 16 S,B0H2J9ZLPZ,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 3 Carat",1481.61
LG PC PN DE 3 14D GH VS1VS2 16 S,B0H2JDX2M2,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 3 Carat",1481.61
LG PC PN DE 3 PLT GH VS1VS2 16 S,B0H2J7P3HH,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 3 Carat",1735.13
